time,connect,request 
0,7.778,5.063 
10,2.38,2.843 
20,1.441,2.843 
30,1.178,2.843 
40,1.055,2.843 
50,1.055,2.843 
60,1.026,2.843 
70,1.026,2.843 
80,0.964,2.843 
90,0.911,2.843 
100,0.911,0.969 
110,0.911,0.969 
120,0.859,0.962 
130,0.859,0.962 
140,0.842,0.962 
150,0.497,0.958 
160,0.435,0.958 
170,0.435,0.958 
180,0.383,0.958 
190,0.383,0.958 
200,0.383,0.958 
210,0.383,0.958 
220,0.383,0.958 
230,0.383,0.958 
240,0.383,0.958 
250,0.383,0.958 
260,0.383,0.958 
270,0.383,0.958 
280,0.383,0.958 
